Title,Categories,Servings,Ingredients,Generated Recipe - Baseline 1,Generated Recipe - Baseline 2,Generated Recipe - Extended 1,Generated Recipe - Extended 2
daves apple crisp sugar free,fruit	pie/tart	desserts,20 servings,10 c  sliced apples	-cornstarch	5 ts cinnamon	1 c  brown sugar substitute	2    to 3  tablespoons	1 c  graham cracker crumbs	1/2 c  brown sugar substitute	2 tb cinnamon	1/2 c  melted margarine,combine all ingredients in a large bowl . mix well . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x,"in a large bowl , combine sugars , brown sugar , cinnamon , and cinnamon . add sugar and mix well . add remaining ingredients . mix well . pour into prepared pan . bake at 350 deg . for 35-40 minutes .  <EOS>",combine crumbs and margarine in a large bowl mix together the sugar and cinnamon set aside in a large saucepan combine the sugar and butter add the sugar and cinnamon and cook stirring until the mixture thickens and thickens stirring constantly add the sugar and cinnamon and simmer for minutes or until the mixture thickens slightly thickened and serve <EOS>,in a large bowl combine the flour and salt and pepper in a medium bowl combine the flour baking powder and salt and salt in a large bowl stir in the flour and salt and pepper to taste <EOS>
oven cheese chowder,soup/stew	cheese/eggs,10 servings,"1/2 lb zucchini, cut into 1 inch	2 ts salt chunks                           1/4 ts pepper	2 md onions, chopped	1 ea clove garlic, minced	1 cn garbanzo beans, rinsed and	1 ts dried basil drained (15 oz.)                   1 ea bay leaf	1 cn diced tomatoes with liquid	1 c  monterey jack cheese (14 1/2 oz.)                       1 c  grated romano cheese	1 cn mexican style corn, drained	1 1/2 c  half and half cream (11 oz.)                                additional monterey jack	1 cn chicken broth (14 1/2 oz.)	-cheese (optional)",TRIMMED DATA,TRIMMED DATA,in a large saucepan bring to a boil reduce heat and simmer for minutes add the broth and cook for minutes add the broth and cook until the mixture thickens and thickens stir in the broth and bring to a boil reduce heat and simmer for,in a large skillet over medium heat add the onion and garlic and cook for minutes add the onion and cook until the onion is tender add the garlic and cook for minutes add the tomatoes and cook for minutes add the tomatoes and cook for
bulgur celery sage,nuts/grains,4 servings,"2 ts olive oil	1/2 ts dried thyme	1 sm onion(s), chopped	1/2 ts dried marjoram	2    stalks celery, chopped	1 3/4 c  beef stock	2    garlic clove(s), minced	1    bay leaf	1 c  bulgur	1 tb parsley, chopped	1/2 ts dried rubbed sage	salt and pepper to taste",combine all ingredients in a large bowl . mix well . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 13 x 9 x,"in a large skillet , heat oil over medium-high heat . add onion and garlic . cook over medium heat until onion is tender . add tomatoes and cook until onion is tender . add tomatoes , bay leaves , and bay leaves . cook over medium heat until vegetables are tender . add remaining ingredients . cover and simmer for 3 to 4 hours . serve with hot cooked rice .  <EOS>",in a large saucepan bring quarts water to a boil add salt pepper and bay leaf bring to a boil reduce heat and simmer for minutes add the stock and bring to a boil reduce heat and simmer for minutes add the stock and bring to a boil reduce heat and simmer for minutes add the stock and bring to a boil reduce heat and simmer for minutes or until the liquid has evaporated add the stock and cook for,in a large skillet over medium heat add the onion and garlic and cook until the onion is tender add the onion and cook for minutes add the onion and garlic and cook for minutes add the tomatoes and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and cook for minutes add the rice and the sauce and cook for minutes add the rice and the sauce and cook for minutes add the
miniature spring rolls,appetizers	chinese,24 servings,3    dried black mushrooms	sliced	2 oz dried bean thread noodles	3    green onion -- sliced	1 sm carrot -- julienned	1/2 lb boneless skinless chicken	1 c  napa cabbage -- thinly	breasts	2 tb chicken broth	1/4 ts chinese five spice	1 tb oyster sauce	1 tb oil -- for frying	1/2 ts sesame oil	12    spring roll wrappers	2 ts cornstarch	oil -- for deep frying,TRIMMED DATA,TRIMMED DATA,TRIMMED DATA,TRIMMED DATA
orzo chicken broccoli,poultry	main dish,4 servings,"4 fl boneless chicken breast or	2 c  chicken stock, low sodium	thigh, cut into 1"" cubes	1/4 c  lemon juice	3 ts old bay seasoning	2 tb cornstarch	1 lb orzo pasta	1 ts oregano, dried	1 lb broccoli florets and stems	1/4 ts crushed red pepper	3    cloves garlic, minced	fresh ground black pepper",TRIMMED DATA,TRIMMED DATA,TRIMMED DATA,TRIMMED DATA
wasabi mayonnaise,dress/stuff	japanese	pasta/rice	masterchefs,6 servings,"3    egg yolks	2 tb dijon mustard	1/2 ts salt	6 tb wasabi powder, mixed with a	i tablespoon lemon juice	-little water to make a	3 tb japanese rice vinegar or	-paste white wine vinegar               500 ml vegetable oil	2 tb soya sauce","in a large skillet , heat oil in a large skillet over medium-high heat . add onion and saute until tender . add remaining ingredients and stir until well blended . add remaining ingredients and mix well .","in a large bowl , combine all ingredients . mix well . in a small bowl , combine the remaining ingredients except the fish and mix well . in a separate bowl , combine the egg , and",in a large bowl combine the egg yolks and vinegar mix in a blender container and blend until smooth add the vinegar and salt and mix thoroughly add the remaining ingredients,in a large bowl combine the flour and salt and pepper in a large bowl add the eggs and the egg yolks and stir in the flour and salt add the
oyster forcemeat stuffing,dress/stuff	holiday	masterchefs,1 servings,"3 1/2 ea (92g) stale bread	1 ea egg-yolk	3 1/2 oz (100ml) milk	1 ts chopped parsley	12 ea shelled oysters, reserve	1 ea soak the bread in milk with juice                                   -a little water, then	1 3/4 ea (50g) butter	-squeeze dry.	g  rind of 1/2 lemon	2 ea put it into a saucepan and f ground mace                           -gradually add the oyster	1 pn of cayenne	-juice over a	salt","in a large skillet , heat oil in a large skillet over medium-high heat . add onion and saute until tender . add onion and saute until tender . add remaining ingredients and mix well . pour into greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x","in a large bowl , combine all ingredients except milk and mix well . add remaining ingredients . mix well . add remaining ingredients . cover and refrigerate until ready to serve .  <EOS>",in a large saucepan bring to a boil reduce heat and simmer for minutes add the water and cook for minutes add the cream and cook for minutes add the water and cook for minutes add the water and cook for minutes add the water and cook for minutes add the cream and cook for minutes add the cream and,combine all ingredients except the water and salt and pepper to taste in a large bowl combine the flour and salt and pepper in a large bowl and add to the mixture to the mixture and the mixture and the mixture and the mixture and the mixture and the mixture is smooth and elastic fold in the flour mixture and
chicken broccoli,poultry	cheese/eggs	guestchefs,4 servings,"1    chicken, boned	1/2 lb mushrooms, fresh sliced	2 lb broccoli, frozen, steamed	1 lb velveta cheese","in a large skillet , heat oil in a large skillet over medium-high heat . add onion and cook until tender . add remaining ingredients and stir until well blended . add remaining ingredients and mix well . pour into greased 9 '' pie plate . bake at 350 degrees for 30 minutes .  <EOS>","in a large skillet , heat the oil over medium-high heat . add the mushrooms and cook over low heat until the vegetables are tender . stir in the yogurt , salt and pepper . add the mushrooms and cook over low heat until the fish is cooked . remove from the heat and stir in the parsley .  <EOS>",in a large saucepan bring to a boil reduce heat and simmer for minutes or until the chicken is tender remove the pan from the heat and add the mushrooms and cook for minutes add the mushrooms and cook for minutes or until the chicken is tender and no longer pink stirring occasionally add the mushrooms and,in a large skillet over medium heat add the onion and cook until the onion is tender add the garlic and cook for minutes add the remaining ingredients and stir until the mixture is smooth and the mixture is absorbed add the remaining ingredients and cook for minutes add the remaining ingredients and cook for minutes add
lemon-oregano chicken,poultry	main dish,1 servings,"1 1/2 lb meaty chicken pieces,	1 tb snipped fresh oregano or 1 skinned (up to 2 pounds)                -teaspoon dried	1/4 ts salt	-oregano, crushed	1/8 ts ground black pepper	1/8 ts ground red pepper	1    clove garlic, minced	1/4 c  dry white wine or chicken	1    lemon, thinly sliced,	-broth divided                            1 md green sweet pepper, cut into	1 lg tomato, peeled and chopped,	-strips divided                            1 md red sweet pepper, cut into	1/2 c  pitted ripe olives	-strips	1/4 c  chopped onion	-fresh oregano sprigs	1/4 c  snipped fresh parsley	-(optional)",TRIMMED DATA,TRIMMED DATA,in a large saucepan combine the water and the garlic and bring to a boil reduce heat and simmer for minutes add the broth and cook for minutes add the broth and cook for minutes add the tomatoes and cook for minutes or until the vegetables are tender crisp and drain and set aside heat the oil in a large saucepan over medium heat add the onion and garlic cook for minutes add the tomatoes and cook stirring until the mixture thickens and the mixture thickens and the vegetables are tender about minutes add the broth and cook for minutes or until the mixture thickens and thickens stirring occasionally about minutes add the broth and cook for minutes or until the vegetables are tender crisp drain the excess liquid and add the tomatoes to the soup and the remaining,in a large skillet over medium heat add the onion and saute until golden add the garlic and cook for minutes add the tomatoes and cook for minutes add the tomatoes and cook for minutes add the rice and the water and bring to a boil and cook for minutes add the tomatoes and cook for minutes add the rice and stir fry for minutes add the rice and the stock and bring to a boil reduce the heat and simmer for minutes add the rice and stir until the mixture is absorbed and the sauce is absorbed and the sauce is absorbed add the remaining ingredients and the sauce and cook for minutes add the rice and the sauce and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and cook for
caribou soup,soup/stew	game,8 servings,"1 lb caribou	4    small potatoes, quartered	oil; for browning meat	1    carrot; peeled and sliced	8 c  water or stock	1    parsnip: peeled and diced	2    bay leaves	1/2 c  turnip; peeled and diced	4    juniper berries	1/2 c  cabbage; shredded	2    cloves	2    celery ribs; chopped	1/2 c  white wine	2 md banana peppers, chopped	1 tb worcestershire sauce	1/2 c  green peas","in a large skillet , heat oil in a large skillet over medium-high heat . add onion and saute until tender . add remaining ingredients and stir until well blended . add remaining ingredients and mix well . pour into greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x","in a large bowl , combine the flour , salt , pepper , and garlic . add the onion , garlic , and garlic . add the onion and garlic . cook over medium heat until the vegetables are cooked . add the potatoes and cook over low heat until the vegetables are tender . add the vegetables and cook until the potatoes are tender . add the remaining ingredients . stir in the remaining ingredients . cover and refrigerate for at least one hour .  <EOS>",in a large saucepan bring water to a boil over high heat add the salt and pepper and bring to a boil reduce heat and simmer for minutes or until the vegetables are tender add the peas and cook for minutes or until the meat is tender remove the meat from the bones and discard the bones and discard any bones remove the bay leaves and discard the liquid add the stock and bring to a boil,in a large skillet over medium heat add the onion and saute until they are tender add the garlic and cook for minutes add the tomatoes and cook for minutes add the tomatoes and the stock and bring to a boil and cook for minutes add the rice and stir fry for minutes add the cooked rice and stir fry for minutes add the remaining ingredients and cook for minutes add the rice and stir fry for
variety coleslaw,salads	low cal/fat,4 servings,"2 c  shredded cabbage	choice of one	1 md carrot, chopped or grated	1/2    apple, chopped or reen pepper, chopped             1/3 c  drained, unsw. pineapple ch	1/4 c  boiled dressing, diet	2 tb raisins	2 tb plain yogurt",combine all ingredients in a large bowl . mix well . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x,"in a large bowl , combine all ingredients . mix well . in a small bowl , combine remaining ingredients . pour into a greased 13x9x2-inch pan . bake at 350 deg . for 45",combine all ingredients in a blender container cover and refrigerate overnight to hours or overnight <EOS>,in a large bowl combine the flour and salt and pepper to taste in a large bowl combine the flour salt and pepper in a large bowl add the
baked clams,main dish	fish/seafoo	appetizers	microwave,4 servings,"12    cherrystone clams	1    egg, slightly beaten	2 tb butter or margarine	1/4 c  seasoned bread crumbs	1/4 c  finely chopped onion	1/8 ts dried oregano leaves	1    clove garlic, peeled	1/3 c  seasoned dry bread crumbs and crushed                        2 tb butter or margarine, melted","in a large skillet , heat oil in a large skillet over medium-high heat . add onion and saute until tender . add remaining ingredients and stir until well blended . add remaining ingredients and mix well . pour into greased 9 '' pie plate . bake at 350 degrees for 30 minutes .  <EOS>","in a large bowl , combine all ingredients except bread crumbs . mix well .  <EOS>",in a large saucepan melt butter over medium heat add onion and cook stirring constantly until mixture thickens and bubbly add onion and garlic cook stirring constantly until onion is melted add onion and garlic and cook stirring constantly until thickened and bubbly add onion and cook stirring constantly until thickened and bubbly add onion and cook stirring constantly until mixture thickens and bubbly stirring constantly add remaining ingredients except cheese and cook over low heat stirring constantly until thickened and bubbly serve over pasta <EOS>,in a large skillet over medium heat add the onion and garlic and cook until the onion is tender add the onion and saute for minutes add the onion and cook until the onion is tender add the garlic and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and stir until the mixture is smooth and the mixture is reached to the mixture is reached to the mixture is reached <EOS>
minted peas,vegetables,6 servings,30 oz (3 pkg.) frozen green peas,combine all ingredients in a small bowl . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x,"in a large bowl , combine all ingredients except lettuce leaves . mix well . in a small bowl , combine all ingredients except lettuce . mix well . pour into a greased 10-inch casserole . bake in a preheated 350 degree oven for 45 minutes or until golden brown .  <EOS>",in a large saucepan bring to a boil reduce heat and simmer for minutes or until the vegetables are tender drain the liquid from the heat and add the peas and cook for minutes add the peas peas and cook for minutes or until the vegetables are tender about minutes drain the excess liquid from the heat and stir in the peas cook for minutes add the,in a large bowl combine the vinegar and salt and pepper in a large bowl and add the rest of the ingredients and the mixture and the mixture and the mixture and the mixture and the mixture and the mixture and the mixture and the mixture is smooth and elastic to about minutes rrb add the remaining ingredients and the mixture and the mixture and the mixture
deep-dish rhubarb-strawberry pie,pies	fruits,8 servings,"3/4 c  sugar	1/3 c  flour, sifted	1 ts ground cinnamon	1/2 ts ground cloves	1 lb fresh rhubarb	1 pt strawberries	2 tb butter or margarine	flaky pastry ii (or 1/2 package pie crust mix)	milk or cream	sugar	1 1/2 c  flour, sifted	1 ts salt	1/2 c  vegetable shortening	4 tb ;water, cold, approx",TRIMMED DATA,TRIMMED DATA,TRIMMED DATA,TRIMMED DATA
deep-dish turkey pot pie,casseroles,6 servings,"2 1/4 c  chicken broth, defatted	1/2 c  chopped celery	1/4 c  chopped onions	2 md carrots, coarsely chopped	3 tb cornstarch	1 3/4 c  evaporated skim milk	3 c  cooked, chopped turkey breast	1 c  frozen peas, thawed	1/4 c  snipped fresh parsley	1/2 ts dried sage	3    sheets phyllo dough",TRIMMED DATA,TRIMMED DATA,TRIMMED DATA,TRIMMED DATA
deep-fried tofu peanut sauce,appetizers	thai	snacks	tofu	vegetarian,6 servings,"1 lb tofu, pressed	2 ea garlic cloves, chopped	1 ea cilantro root, chopped	3 ea dried red chilies, soaked & - chopped, seeded	1/2 ts salt	3/4 c  rice vinegar	1/4 c  sugar	1/2 c  peanuts, finely chopped	2 c  peanut -=or=- vegetable oil	2 ts cilantro leaves, chopped	2 ts red pepper flakes",TRIMMED DATA,TRIMMED DATA,in a large saucepan bring to a boil reduce heat and simmer for minutes or until the rice is tender drain the rice and set aside in a large saucepan bring the water to a boil add the ginger and cook for minutes or until the rice is tender drain the rice and add the peanut butter and vinegar and mix thoroughly add the lime juice and the lime juice and vinegar and mix thoroughly add the lime juice and the lime juice to the sauce mixture and toss gently with the dressing and serve <EOS>,in a large skillet over medium heat add the onion and saute until the onion is tender add the garlic and cook for minutes add the tomatoes and cook for minutes add the tomatoes and cook for minutes add the tomatoes and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and cook for minutes add the remaining ingredients and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and stir until the mixture is absorbed and the sauce is absorbed and the sauce is absorbed and the sauce is absorbed and the sauce is absorbed and the sauce is absorbed and the sauce is absorbed and the sauce is absorbed and the sauce is
dessert blueberries in armagnac syrup,canning	desserts	fruits	harned 1994	sauces,3 pints,2 pt baskets ripe blueberries	6    to 9 tb. armagnac - or to taste	3 c  ;water	2 1/4 c  sugar,TRIMMED DATA,TRIMMED DATA,TRIMMED DATA,TRIMMED DATA
diabetic sweetner-sugar equivalents,diabetic,1 servings,equivalents,cut into a large bowl . add remaining ingredients and mix well . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9,"in a large bowl , combine the sugar , vinegar , and salt . add the egg and mix well . add the egg and mix well . add the egg and mix well . add the rest of the ingredients . mix well .  <EOS>",combine all ingredients in a blender container cover and refrigerate overnight <EOS>,place the butter in a large mixing bowl and add the rest of the ingredients and the mixture and the mixture and the mixture and the mixture and the mixture is smooth and elastic fold in the flour and salt and pepper to taste <EOS>
